index,question,ground_truth,prediction,correct
294,Are you still convinced that Iran is trying to build a nuclear bomb?,Ambivalent,Clear Reply,False
295,Non-Proliferation Treaty and Iran's knowledge to enrich uranium,Ambivalent,Ambivalent,True
296,"Would you take the leading role, along with President Musharraf, to build these bridges and promote interfaith harmony to avert any wrong notion of clash of civilizations?",Ambivalent,Ambivalent,True
297,Does it concern you that the Beirut Airport has been bombed?,Ambivalent,Clear Non-Reply,False
298,What are your thoughts?,Clear Reply,Ambivalent,False
299,"And if not, why not?",Clear Reply,Clear Reply,True
300, Previous conversations with Prime Minister Maliki: Did you feel confident that he shares your view on Iraq?,Clear Non-Reply,Clear Non-Reply,True
301,"What does this say about the Democratic leadership, the way they're running Congress, and your relations with the leaders?",Ambivalent,Ambivalent,True
302,Conditions on the ground in Baghdad and the potential significant withdrawal of American forces by the end of the year,Ambivalent,Ambivalent,True
303," If so, why?",Ambivalent,Ambivalent,True
304,Request for the speaker's understanding and response to the frustration,Ambivalent,Ambivalent,True
305,"Mr. President, we know that you talked about Iran and North Korea. Let me ask you if you moved forward at all on these issues?",Clear Reply,Ambivalent,False
306," Is there anything that's disappointed you about the recovery, the Federal response?",Ambivalent,Ambivalent,True
307,Why shouldn't Americans see the U.S. policy regarding North Korea as a failed one?,Clear Reply,Ambivalent,False
